Subject,'CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_content','CN_AT_content','CN_AT_content',CN_AT_oven,CN_AT_oven,CN_AT_oven,CN_AT_primary,CN_AT_primary,CN_AT_primary,'CN_AT_revival','CN_AT_revival','CN_AT_revival'
Acquisition,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
0 Selection,0.027656634,0.022224832,0.031326005,0.016324461,0.016946311,0.01417893,0.017781884,0.016852948,0.022770906,0.043479355,0.021276524,0.028821772,0.040051234,0.035932925,0.024046195,0.023289656,0.025972387,0.029177931
0,0.021306464,0.023986997,0.019922737,0.018261308,0.017805581,0.018109474,0.023148458,0.020916429,0.01826608,0.074869714,0.039722088,0.041534175,0.023069061,0.031537455,0.04397254,0.038551125,0.035927745,0.037132098
0.05,0.021081113,0.026470638,0.020924323,0.021732722,0.020507794,0.026539971,0.021086426,0.021752672,0.019394146,0.0548786,0.070379647,0.048817727,0.026102133,0.038289171,0.039270195,0.038211752,0.037065391,0.033918376
0.1,0.023561536,0.027001793,0.03194731,0.020074928,0.021731073,0.023214136,0.020040396,0.032223078,0.020442479,0.030144641,0.036961941,0.030304288,0.032609175,0.036875453,0.033430368,0.02437572,0.039156161,0.049272985
0.15,0.032105221,0.029950122,0.032823261,0.025900887,0.022163009,0.02318995,0.031215264,0.038168223,0.027405176,0.036395298,0.033577891,0.029848546,0.028225884,0.032823408,0.042432669,0.033030237,0.032227187,0.032529462
0.2,0.034432891,0.034924021,0.064729273,0.04529323,0.029428574,0.039574827,0.024461263,0.029828235,0.028531763,0.039560435,0.035113501,0.073193619,0.037105783,0.052413315,0.037460947,0.032460456,0.041939363,0.043155311
0.25,0.035133045,0.041767003,0.052929453,0.051172489,0.036416759,0.030345985,0.033937699,0.03217706,0.026221264,0.036568207,0.057120403,0.044638541,0.037318262,0.057299472,0.065039956,0.037029158,0.035536947,0.043678055
0.3,0.040688793,0.043249159,0.037161583,0.042477902,0.03743532,0.048820128,0.032035123,0.036787011,0.035243044,0.061334925,0.046104945,0.066578781,0.043453162,0.040184001,0.055718593,0.037638439,0.038100269,0.050457907
