Subject,'CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel',CN_AT_fun,CN_AT_fun,CN_AT_fun,CN_AT_oven,CN_AT_oven,CN_AT_oven,CN_AT_manos,CN_AT_manos,CN_AT_manos,'CN_AT_revival','CN_AT_revival','CN_AT_revival'
Acquisition,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
No Var Select,0.022566774,0.029139897,0.034065258,0.015153203,0.021654832,0.022470019,0.025454195,0.022026177,0.025426459,0.027951393,0.031052795,0.137328579,0.039586445,0.035461668,0.029741135,0.03487122,0.035809522,0.029444982
No Var,0.03042888,0.024632579,0.023290398,0.021964803,0.019851846,0.026247545,0.0253458,0.02450627,0.023802137,0.049220018,0.03929221,0.026378892,0.022435758,0.021893719,0.033009333,0.02576947,0.030663085,0.053374626
Light Var,0.042221372,0.045387579,0.051449787,0.106960956,0.04051515,0.04923131,0.045244943,0.038447069,0.039897983,0.050671405,0.04968697,0.077356546,0.043420326,0.055415721,0.040456013,0.040116902,0.040899869,0.061205352
Bkg Var,0.048438725,0.037013299,0.038623971,0.02856313,0.027883253,0.045473448,0.02531833,0.05405889,0.038305626,0.041523321,0.048861004,0.058900683,0.029235206,0.033310417,0.029345151,0.044203681,0.03261471,0.03793546
Lig Bkg Var,0.059949165,0.080940982,0.049540862,0.053205197,0.056187169,0.051499153,0.045035362,0.044565765,0.041623007,0.058344287,0.084342631,0.048959218,0.092058729,0.075870878,0.062577312,0.051413981,0.047119042,0.059816119
Bkg Var Gray,0.043907803,0.039668965,0.034604108,0.029979601,0.030829622,0.03496697,0.032640402,0.057120871,0.038238937,0.060147866,0.068146172,0.07670115,0.057398164,0.03378684,0.039463122,0.037779108,0.03793743,0.04094992
Lig Bkg Var Gray,0.047678012,0.063351792,0.083361981,0.050624769,0.05632313,0.055029196,0.039490058,0.056613034,0.047343001,0.072963052,0.114880683,0.059887831,0.071268501,0.062807622,0.090658676,0.055512634,0.061356159,0.051545842
